#Index                     Name  Age   GPA         Career
   631           James Gianotti   21  1.76        Physics
   632            Brian Whitney   26  1.98        Physics
   633             Renee Sumney   22  1.94      Chemistry
   634            Cheryl Hunter   27  3.36        Physics
   635           Angela Gooding   20  3.76      Chemistry
   636           Carol Jimerson   20  3.99        Biology
   637             Robert Lynch   27  3.30        Physics
   638            Kati Anderson   23  0.66        Biology
   639            William Meier   20  1.23        Biology
   640             David Fraser   27  1.00        Biology
   641             Paul Oglesby   25  2.46      Chemistry
   642           Jeannie Obrien   20  1.79        Biology
   643              Tammy Brown   23  2.58      Chemistry
   644          Barbara Miranda   20  1.10        Biology
   645             Betty Dodson   26  0.32        Physics
   646       Lillian Darnstaedt   23  1.37      Chemistry
   647             Lori Paulsen   26  3.78      Chemistry
   648            Margaret Gray   26  3.50      Chemistry
   649             Paul Colombo   27  3.47        Biology
   650            Maria Higgins   23  1.79        Physics
   651           Laurie Bennett   26  3.24        Physics
   652             Linda Becker   20  3.66        Physics
   653            Paul Greenman   21  0.24      Chemistry
   654               Aida Walsh   21  2.61      Chemistry
   655            Brian Kidwell   20  2.40        Physics
   656          Stanley Fondren   25  1.07      Chemistry
   657          Keith Hernandez   23  0.15      Chemistry
   658              Carol Yengo   25  0.60        Biology
   659          Carolyn Mccartt   22  2.28      Chemistry
   660            Frances Muniz   20  3.97        Physics
   661          John Whitehurst   23  2.18      Chemistry
   662            Bryan Waddell   25  3.40      Chemistry
   663            Robert Snyder   24  1.58        Biology
   664           Mark Falkowski   22  1.75      Chemistry
   665            Frank Stewart   22  2.05        Biology
   666            Morgan Redman   26  2.80        Biology
   667         Danny Delaughter   26  0.20        Biology
   668          Edna Hattabaugh   26  2.42        Biology
   669          Tennie Anderson   23  3.73      Chemistry
   670            Perry Fanning   25  2.96      Chemistry
   671           Germaine Davis   23  0.11      Chemistry
   672             Stephen Cook   22  2.71        Physics
   673              Debra Halle   25  2.60        Physics
   674              Brenda Cool   22  3.55        Physics
   675             Michael Fote   22  1.03        Physics
   676               Gary Brown   27  3.24      Chemistry
   677             Blake Pedigo   25  3.73        Biology
   678             Nathan Acker   21  1.04        Biology
   679         Michelle Swanson   21  3.49        Biology
   680              Ronald Sabo   26  0.64      Chemistry
   681            Linda Holland   27  0.06        Biology
   682              James Terry   26  3.58        Biology
   683         Richard Mayfield   26  2.38      Chemistry
   684        Lawrence Mccarthy   24  2.52        Physics
   685             Joseph Logan   23  1.67        Biology
   686               Levi Shane   26  2.10      Chemistry
   687            Loretta Tharp   23  3.85        Biology
   688                Kelly Cox   20  0.25        Physics
   689               Faye Bolar   22  0.19        Physics
   690               Jose Blake   22  2.66      Chemistry
   691             Ellis Torres   22  0.45        Physics
   692              Robert Dube   24  1.22        Biology
   693            Angie Spencer   26  2.85        Physics
   694                 Lori Cox   25  1.37      Chemistry
   695            Edward Harvey   26  2.73        Biology
   696           Leonard Miller   23  0.48      Chemistry
   697            Elizabeth Kim   24  2.52        Biology
   698            Lisa Whitsitt   23  3.35      Chemistry
   699           Norman Brannon   22  3.39        Physics
   700             Larry Batten   22  3.24        Physics
   701           Shelly Trevino   20  3.21        Physics
   702              Alfred Case   20  1.90      Chemistry
   703             Jean Garrett   27  2.52      Chemistry
   704               Keri Moore   27  1.79        Physics
   705            Barbara Wertz   20  1.11        Biology
   706            Deborah Strom   27  0.92        Physics
   707            Jessica Fabre   27  1.76        Biology
   708        Jeffrey Bourgeois   24  0.90        Biology
   709            Barbara Mason   27  0.99        Physics
   710              Mary Ashley   27  1.42        Physics
   711          Kimberly Wilson   23  1.20        Physics
   712            Daniel Milner   27  1.23      Chemistry
   713             Kayla Sexton   21  1.70      Chemistry
   714       Tyler Wildenthaler   21  1.00        Biology
   715             Larry Brewer   27  2.59      Chemistry
   716             Daniel Robin   23  2.52      Chemistry
   717             Anna Houston   22  2.67      Chemistry
   718              Richard Kim   21  2.96        Physics
   719           Kristine Moore   26  3.42      Chemistry
   720              Kevin Gompf   23  0.51      Chemistry
   721             Naomi Marlor   26  2.16        Biology
   722        Joycelyn Sullivan   20  0.08        Physics
   723           Leonard Martin   26  2.53      Chemistry
   724           William Jacobs   25  2.70        Physics
   725             Avis Frazier   26  1.87        Physics
   726            Julius Booker   23  3.08        Physics
   727               Judy Scott   24  1.60        Physics
   728          Beverly Mazzone   20  0.25        Physics
   729           Carol Chambers   26  2.82        Physics
   730             Callie Blake   20  1.78      Chemistry
   731           Milton Whatley   21  0.84        Physics
   732               Mary Kelly   26  3.42      Chemistry
   733           Jennie Gebhart   26  1.16      Chemistry
   734         Shirley Reynolds   25  3.67        Biology
   735              Steven Muir   23  2.57        Biology
   736        Priscilla Schiano   22  2.93      Chemistry
   737           Hattie Schoeck   26  3.19      Chemistry
   738             Billy Finley   26  2.60        Biology
   739           Janice Trotter   22  2.64        Biology
   740        Jennifer Broadnax   23  0.27        Physics
   741              Colin Alsup   22  1.62      Chemistry
   742              Clair Luksa   23  2.93      Chemistry
   743      Antoine Southerland   26  3.25        Physics
   744           Michele Raines   22  0.92      Chemistry
   745              Jose Paulus   21  0.11        Biology
   746       Christine Zukowski   20  1.06        Biology
   747          Andre Goldstein   23  1.35        Physics
   748             Joseph Brady   22  0.38        Biology
   749             Sabrina Otto   21  3.53        Biology
   750         Jennifer Perkins   21  3.57        Physics
   751           Anthony Arnold   22  2.36        Biology
   752           Nanette Harris   20  2.40      Chemistry
   753             Rafael Frank   21  1.81        Physics
   754            Jennifer Cook   20  1.41        Biology
   755           Natalia Helsel   27  1.36      Chemistry
   756           Brian Anderson   21  2.21        Physics
   757         Cornelia Swanson   22  1.16      Chemistry
   758              Richard Cox   23  2.61        Physics
   759          Steven Epperson   21  2.24        Physics
   760             Joel Duggins   25  2.60      Chemistry
   761          Theodore Molloy   22  3.76        Biology
   762              Amanda Mark   22  3.56        Biology
   763          Darlene Soliman   21  2.23      Chemistry
   764               Sara Reyes   26  1.20        Biology
   765              Juan Martin   20  1.69        Biology
   766        Virginia Robinson   26  1.11        Biology
   767            Donald Credle   21  3.12        Biology
   768            Erika Jimenez   21  2.00      Chemistry
   769            Susan Minteer   21  2.78      Chemistry
   770            William Montz   27  3.77      Chemistry
   771            Dorris Compos   23  0.21        Physics
   772             Ana Whitaker   27  1.00      Chemistry
   773          Kenneth Bunting   20  2.16        Biology
   774           Brandon Taylor   27  0.02        Physics
   775             Peter Anglin   25  0.16      Chemistry
   776              Hedwig Long   22  0.38        Physics
   777          Felicia Heifner   21  3.37        Physics
   778              Lola Wander   25  3.72        Physics
   779              Marie Brown   25  0.42        Biology
   780        Tiffany Rzeczycki   24  3.84      Chemistry
   781          Kevin Pendarvis   26  3.75        Physics
   782             Silvia Scott   20  2.05        Physics
   783          Richard Seymour   21  2.88        Biology
   784             Elsie Joyner   27  3.43        Physics
   785              Harold West   20  0.31        Physics
   786            Betty Coleman   22  0.61        Physics
   787              Sharee Sosa   25  1.26        Physics
   788              Guy Burgess   27  2.11        Biology
   789            Karen Mcswain   22  2.11        Biology
   790             Edward Buggs   21  2.18        Physics
   791              Tim Cissell   25  1.22        Physics
   792            Carlos Larson   26  0.45        Biology
   793             Richard Hall   25  3.89      Chemistry
   794           John Cockerham   27  1.65        Biology
   795           Dianne Francis   23  1.46        Biology
   796           Jack Ladouceur   22  0.67        Physics
   797             Anthony Hook   20  2.61      Chemistry
   798            Barbara Garza   27  3.44        Physics
   799                Jeff Daum   22  2.72        Biology
   800             Juan Trotter   22  3.23      Chemistry
   801            Lloyd Peacock   24  1.14        Biology
   802               Todd Cueto   20  2.54        Biology
   803         Kirsten Williams   20  1.56        Physics
   804             Laura Haller   21  3.64        Biology
   805      Christine Davenport   21  2.48        Physics
   806         Robert Ratermann   23  2.77        Biology
   807               Ryan Cheng   25  1.14        Biology
   808          Demetrius Fiske   24  1.11      Chemistry
   809          Brenda Johnston   21  3.10        Physics
   810             Rose Noguera   24  1.21        Biology
   811         William Hornlein   23  3.33        Physics
   812             Linda Triggs   23  1.59        Physics
   813             Maria Miller   24  2.20      Chemistry
   814            Cliff Lambert   23  2.47        Biology
   815           Antonio Wright   27  0.01      Chemistry
   816         Matthew Phillips   21  3.77        Physics
   817         Bernard Benedict   27  1.98        Physics
   818        Danielle Rutledge   25  2.31        Physics
   819            Helen Charron   20  0.62      Chemistry
   820             Charles Gill   20  1.82        Physics
   821             Scott Jacobs   23  1.09        Physics
   822                Clay Rhea   25  2.15      Chemistry
   823           Emilio Johnson   24  1.94        Biology
   824          Joanne Williams   26  2.97        Biology
   825            John Mckeehan   26  1.51      Chemistry
   826              Teresa Cook   23  3.88      Chemistry
   827             Robert Flood   20  1.25        Physics
   828              Joe Vincent   27  0.13      Chemistry
   829            Lorenza Roser   21  1.64        Physics
   830              Greg Wilson   26  3.02        Biology
   831           Jessica Turrie   21  0.16        Physics
   832            Irene Daniels   23  1.90        Biology
   833            Michael Cline   20  2.25      Chemistry
   834            Albert Taylor   27  0.77        Biology
   835              James Shedd   20  1.24      Chemistry
   836             Gina Clayton   23  2.74      Chemistry
   837               Jorge Sims   21  2.36        Biology
   838         Carmelo Robinson   25  3.06        Biology
   839           Josefina Jones   20  3.01        Biology
   840           Mary Robertson   25  0.05        Physics
   841          Rebecca Gentges   27  2.81        Biology
   842               Kim Eargle   23  3.35        Physics
   843       Samantha Mcdonough   22  3.92        Physics
   844           Cecilia Clines   23  0.43      Chemistry
   845           Shirley Haynes   24  2.69        Physics
   846                Roy Smith   22  2.05        Physics
   847             Lucia Murray   23  1.05      Chemistry
   848             Terry Hedden   25  3.41        Biology
   849           Wayne Reynolds   25  2.56        Physics
   850           Alan Arredondo   24  2.73        Biology
   851          William Carroll   26  2.66        Biology
   852             Gloria Pepin   26  1.96      Chemistry
   853         Allen Montgomery   23  1.24        Physics
   854          Betty Spradling   22  3.32        Biology
   855                Gary Rose   25  2.78        Biology
   856           David Perrotta   27  0.10      Chemistry
   857          William Brister   20  2.82        Physics
   858            Ronald Conroy   23  0.94      Chemistry
   859          Walter Stanford   26  0.55        Biology
   860                Yuko Todd   22  2.80      Chemistry
   861             April Martin   21  3.00      Chemistry
   862            Charles Jasso   20  0.67        Biology
   863              Kevin Hanes   24  2.77        Physics
   864                Amy Rison   27  0.37      Chemistry
   865          Barbara Johnson   24  3.83      Chemistry
   866          Patrick Jenkins   27  0.11        Physics
   867            Dennis Tucker   27  1.05        Biology
   868           Eunice Rossman   27  0.95      Chemistry
   869              Anna Bobeck   27  0.49      Chemistry
   870              Danny Lerma   25  3.70        Physics
   871              Jose Sanner   22  2.15        Biology
   872              Timothy Ray   26  2.79      Chemistry
   873          Edith Heinemann   25  3.09      Chemistry
   874           Robert Marrero   23  1.49        Biology
   875             Kathy Graber   27  0.55      Chemistry
   876            Ronald Waller   22  3.39      Chemistry
   877            Mirian Morris   27  1.36        Physics
   878              Donna Schuh   25  0.61      Chemistry
   879            Anne Langford   22  0.89        Physics
   880            Brittany Ruck   20  1.50        Biology
   881             Mary Magsayo   21  1.95      Chemistry
   882           Anna Mackenzie   20  0.93      Chemistry
   883           Cornelius Pyle   20  0.35        Physics
   884          Courtney Bouyer   25  2.01        Physics
   885              Aimee Jones   23  2.26        Biology
   886             Anne Brennan   20  3.57        Biology
   887            Donald Garcia   20  0.14        Biology
   888              Edward Vang   25  0.06        Biology
   889          Harold Connelly   20  1.11        Biology
   890               Eric Smith   22  2.89      Chemistry
   891           Charleen Evans   27  3.42      Chemistry
   892            Maria Sanchez   24  0.26        Biology
   893               Clyde Sims   20  0.82      Chemistry
   894                Paul Delp   23  3.83        Biology
   895               Gary Doran   22  1.86      Chemistry
   896          Shirley Holland   22  3.23        Biology
   897            Kristen Baker   25  2.66        Biology
   898        Carolyn Schleider   23  1.18      Chemistry
   899          Adrienne Miller   23  1.04        Physics
   900          Walter Ethridge   24  1.04        Biology
   901            Danielle Lige   20  2.45        Physics
   902           Ebony Erickson   25  0.87      Chemistry
   903             Arlene Jones   25  1.13        Biology
   904          Delana Blessing   26  1.69        Physics
   905           James Steveson   20  1.34        Biology
   906          America Messina   26  3.34        Physics
   907            Edward Santos   23  3.17        Physics
   908          Trinidad Corpus   27  2.48        Physics
   909               Ann Atkins   23  3.00        Physics
   910             Jane Talbert   21  3.81        Biology
   911              Cora Brooks   25  0.09        Biology
   912               Mae Snyder   27  2.99      Chemistry
   913           Thomas Baudino   25  0.34        Physics
   914              Heather Coe   27  2.56        Physics
   915               Jose Haley   26  0.40        Physics
   916           Nancy Castillo   21  2.21        Biology
   917           Robert Coleman   22  2.69        Physics
   918             Colby Porter   21  2.62        Biology
   919             Alec Safdeye   25  0.69      Chemistry
   920               Ruth Hiltz   21  1.88        Biology
   921          Rosetta Coleman   25  2.80        Physics
   922          Norris Mcdowell   25  0.14        Biology
   923             Carl Schmidt   21  0.40        Biology
   924        Richard Fontillas   26  1.79        Physics
   925              Peter Heath   25  2.53      Chemistry
   926              Bruce Smith   26  1.42      Chemistry
   927           David Patchell   27  1.27        Physics
   928             Martha Woody   27  0.68        Biology
   929              Bobby Elias   21  1.79        Physics
   930              John Scheer   25  2.00        Physics
   931           Fatima Mcguire   27  3.65        Biology
   932              Bryce Boone   23  3.63        Biology
   933             Melissa Kemp   23  3.76      Chemistry
   934             Matilda Tate   23  0.31        Biology
   935           Barbara Wilson   24  0.31        Physics
   936            Rafael Conner   27  1.89        Biology
   937            Reuben Carter   20  0.91        Physics
   938             Robert Mcrae   22  3.90      Chemistry
   939               Ben Morris   24  3.52        Biology
   940        Daniel Westervelt   22  3.87        Physics
   941             Tracey White   26  2.15      Chemistry
   942           Esther Weidert   23  1.15        Physics
   943             June Hoffman   24  2.29        Biology
   944            Annie Nielsen   20  2.62      Chemistry
   945             Timothy Rowe   26  1.36        Biology
   946           Dudley Coppola   26  1.44        Physics
   947           Francisco Lamb   21  3.29        Physics
   948             Harry Dancer   26  2.98      Chemistry
   949        Elizabeth Renolds   21  3.48        Physics
   950             Edward Reyes   25  3.66        Physics
   951    Jacqueline Noffsinger   25  1.90        Biology
   952             John Scruggs   22  2.61        Physics
   953             Susan Fierro   24  2.02        Physics
   954          Jonathan Farber   25  2.69      Chemistry
   955                Jean Lieb   26  1.16        Physics
   956         David Villanueva   21  3.26      Chemistry
   957          Walter Williams   27  3.41        Biology
   958               John Gomes   24  3.46        Biology
   959             Mildred Voss   23  0.89      Chemistry
   960           Richard Spinks   20  0.43        Biology
   961           Suzanne Holton   21  2.05        Biology
   962          Robert Shasteen   22  1.56        Biology
   963               Jodi Brown   20  2.24        Physics
   964            Clifford Coca   22  3.78        Biology
   965         Ronald Allsbrook   21  1.84        Biology
   966           Ramon Franklin   22  1.25        Physics
   967          Arlene Shedlock   27  1.75      Chemistry
   968           Matthew Staton   21  0.56      Chemistry
   969          Vickie Anderson   27  1.18      Chemistry
   970           Coleman Keesee   23  1.93      Chemistry
   971                Mark Arya   24  2.08        Physics
   972             Joyce Meador   22  1.67        Physics
   973           Charles Hamlin   20  1.03      Chemistry
   974             Mirna Slover   23  0.24        Biology
   975            John Ellerbee   25  2.15        Biology
   976             Dennis Sloan   26  1.67      Chemistry
   977             Norma Harvey   25  3.90        Biology
   978           Craig Shepherd   27  3.67        Biology
   979               James Jury   23  1.22      Chemistry
   980           Debbie Bascomb   27  1.02        Biology
   981           Evelyn Johnson   24  0.98        Biology
   982             Linda Walker   23  1.12        Physics
   983               Janet Lusk   22  3.21      Chemistry
   984           Susan Stribley   26  0.64        Physics
   985           Richard Thomas   22  2.97        Biology
   986               Ira Mcghee   27  0.13        Physics
   987            Daniel Erhart   21  0.32        Physics
   988           Marlin Johnson   21  3.15      Chemistry
   989           Robert Mcbride   27  2.79        Biology
   990            Loretta Perez   27  1.76      Chemistry
   991            Robert Beyers   21  3.60        Physics
   992        Michelle Goldbach   20  1.22      Chemistry
   993          Angela Valencia   25  3.52      Chemistry
   994            Stephan Chick   20  3.96        Physics
   995              Jesus Moore   25  2.18        Physics
   996              Nancy Marks   25  1.98        Biology
   997             James Mickle   27  1.14      Chemistry
   998            Delfina Allen   23  0.54      Chemistry
   999           Patricia Levin   23  2.00        Biology
  1000            Helen Cummins   22  3.38      Chemistry
